"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"George Springer","Astros",".299",".305","1.25",".400","156","22.8%","72.1%","44.0%","56.5%","82.7%","75.0%","11.0%","40.3%","37.0%","22.7%","16.5%","38.4%","45.1%","89.8","10.4","12.2%","43.2%","6.5","12856"
"Howie Kendrick","Nationals",".228",".359","1.47",".400","146","33.1%","66.3%","47.5%","71.9%","92.5%","84.3%","7.4%","34.1%","39.7%","26.2%","14.1%","40.3%","45.5%","91.7","10.8","10.3%","48.3%","2.9","4229"
"Fernando Tatis Jr.","Padres",".272",".410","1.51",".398","150","31.8%","72.6%","47.6%","46.3%","81.5%","67.1%","15.7%","41.9%","36.6%","21.6%","21.1%","37.0%","41.9%","90.4","6.7","12.8%","44.1%","3.6","19709"
"Juan Soto","Nationals",".266",".312","1.12",".394","142","23.4%","68.6%","40.8%","62.1%","86.6%","77.9%","9.0%","39.4%","34.1%","26.4%","12.5%","46.2%","41.3%","92.0","12.5","11.3%","47.8%","4.8","20123"
"Nolan Arenado","Rockies",".269",".312","0.80",".392","128","37.9%","73.3%","51.4%","69.5%","89.3%","80.3%","10.1%","42.5%","34.4%","23.1%","16.9%","40.6%","42.5%","89.4","17.6","6.8%","37.6%","5.9","9777"
"Anthony Rizzo","Cubs",".227",".306","1.35",".390","141","33.8%","65.3%","45.5%","74.5%","88.6%","82.0%","8.2%","42.9%","32.4%","24.7%","18.4%","44.3%","37.3%","89.0","12.6","6.5%","36.8%","4.0","3473"
"Xander Bogaerts","Red Sox",".246",".338","1.04",".390","141","29.4%","57.7%","41.1%","68.6%","89.4%","80.7%","7.9%","42.6%","32.9%","24.5%","14.1%","47.2%","38.8%","90.6","13.2","8.0%","44.4%","6.8","12161"
"Keston Hiura","Brewers",".268",".402","1.00",".388","139","35.1%","73.5%","51.3%","48.7%","76.9%","65.8%","17.5%","30.3%","40.4%","29.3%","16.8%","38.9%","44.2%","91.4","16.4","12.5%","48.1%","2.1","20003"
"Charlie Blackmon","Rockies",".262",".334","1.04",".387","125","33.3%","70.8%","49.7%","70.2%","88.6%","81.7%","9.1%","42.8%","32.8%","24.3%","15.6%","44.1%","40.3%","88.7","14.5","7.9%","40.3%","2.0","7859"
"Freddie Freeman","Braves",".255",".318","1.12",".387","138","32.9%","82.6%","51.9%","69.0%","82.7%","77.4%","11.7%","40.5%","30.9%","28.6%","12.3%","40.9%","46.8%","89.7","14.3","11.7%","42.4%","4.0","5361"
"J.D. Martinez","Red Sox",".252",".342","1.23",".386","139","31.8%","75.7%","49.5%","56.2%","86.8%","75.0%","12.3%","41.2%","32.4%","26.5%","10.2%","43.9%","45.9%","91.4","12.5","10.8%","48.1%","3.2","6184"
"Mark Canha","Athletics",".244",".308","1.01",".386","146","25.0%","61.4%","40.4%","70.6%","83.8%","79.1%","8.5%","49.5%","29.5%","21.0%","18.4%","42.0%","39.7%","89.1","15.2","8.9%","40.7%","4.0","11445"
"Jeff McNeil","Mets",".214",".337","1.25",".384","143","41.7%","85.0%","59.9%","71.5%","88.1%","81.4%","11.1%","46.3%","31.4%","22.2%","11.2%","50.9%","37.8%","89.0","13.8","4.4%","36.7%","4.6","15362"
"Bo Bichette","Blue Jays",".260",".368","1.31",".384","142","38.6%","75.0%","53.3%","70.6%","81.1%","76.6%","12.5%","39.5%","29.9%","30.6%","15.6%","51.7%","32.7%","90.0","10.4","8.2%","43.5%","1.7","19612"
"Pete Alonso","Mets",".323",".280","0.98",".384","143","34.6%","68.1%","46.6%","62.0%","83.4%","73.2%","12.5%","45.8%","36.7%","17.5%","15.8%","42.0%","42.2%","90.7","14.8","14.6%","42.2%","4.8","19251"
"Jordan Luplow","Indians",".276",".313","1.03",".383","137","22.7%","75.2%","44.7%","59.6%","82.6%","75.9%","10.8%","49.7%","30.3%","20.0%","12.1%","47.9%","40.0%","89.6","16.1","11.5%","38.8%","2.2","16424"
"Aaron Judge","Yankees",".267",".360","1.25",".382","141","24.6%","68.1%","41.9%","40.3%","78.6%","65.1%","14.6%","38.7%","34.5%","26.9%","9.2%","37.0%","53.8%","96.0","11.6","19.7%","58.2%","4.6","15640"
"Eugenio Suarez","Reds",".301",".312","0.85",".381","133","26.6%","68.6%","44.4%","51.3%","84.6%","73.1%","12.0%","52.0%","26.8%","21.2%","15.1%","38.3%","46.7%","89.3","17.7","12.8%","40.1%","4.5","12552"
"Carlos Correa","Astros",".289",".303","0.99",".380","143","31.1%","62.6%","44.3%","66.4%","84.4%","77.1%","10.2%","38.6%","34.8%","26.6%","20.8%","34.3%","44.9%","89.0","12.5","12.4%","40.2%","3.2","14162"
"Mookie Betts","Red Sox",".229",".309","0.72",".380","135","21.4%","61.5%","38.3%","71.9%","93.7%","86.6%","5.1%","43.6%","33.7%","22.8%","11.5%","45.5%","43.0%","91.0","19.0","9.3%","47.3%","6.6","13611"
"Trevor Story","Rockies",".260",".361","0.79",".380","121","31.5%","72.0%","48.0%","60.1%","84.8%","75.2%","11.9%","39.6%","32.1%","28.3%","12.2%","43.9%","43.9%","91.0","17.5","7.7%","46.0%","5.8","12564"
"Carlos Santana","Indians",".234",".293","1.20",".380","135","21.2%","66.2%","39.3%","66.2%","87.6%","80.7%","7.6%","45.6%","34.9%","19.5%","16.3%","40.5%","43.3%","91.8","11.7","9.4%","44.8%","4.4","2396"
"Austin Meadows","Rays",".268",".331","0.80",".380","142","27.4%","62.2%","42.2%","63.2%","87.9%","78.6%","9.0%","45.1%","34.8%","20.1%","13.3%","41.4%","45.4%","90.4","16.7","11.5%","42.9%","4.0","15672"
"Kris Bryant","Cubs",".239",".331","0.83",".379","135","30.5%","76.0%","48.4%","60.3%","82.6%","74.1%","12.6%","46.5%","30.0%","23.5%","16.8%","47.5%","35.8%","87.6","19.2","8.8%","33.8%","4.8","15429"
"Yoan Moncada","White Sox",".233",".406","1.23",".379","141","32.7%","66.9%","47.3%","51.2%","83.3%","70.6%","13.9%","39.6%","34.3%","26.0%","12.2%","47.9%","39.9%","93.1","12.3","10.8%","47.9%","5.7","17232"
"Miguel Sano","Twins",".329",".319","0.88",".378","137","27.9%","68.0%","43.6%","42.8%","77.2%","63.8%","15.8%","55.4%","29.3%","15.3%","9.0%","38.3%","52.7%","94.4","15.9","20.3%","57.2%","2.7","12164"
"Josh Bell","Pirates",".292",".288","1.18",".378","135","30.2%","77.8%","48.1%","66.0%","83.2%","76.5%","11.3%","42.5%","33.2%","24.3%","13.2%","41.3%","45.4%","92.4","13.1","12.0%","46.4%","2.5","13145"
"Jorge Soler","Royals",".304",".294","0.95",".378","136","27.1%","70.7%","44.0%","47.1%","83.7%","69.9%","13.2%","46.7%","31.1%","22.2%","13.0%","40.2%","46.7%","92.5","15.5","16.3%","49.8%","3.6","14221"
"Josh Donaldson","Braves",".262",".292","1.16",".377","132","25.7%","71.8%","43.8%","62.4%","76.6%","71.5%","12.5%","48.5%","26.8%","24.7%","15.2%","37.6%","47.2%","92.9","13.3","15.2%","50.5%","4.9","5038"
"Hunter Pence","Rangers",".255",".333","1.26",".377","128","37.1%","75.0%","51.3%","61.8%","77.2%","70.3%","15.3%","36.5%","30.6%","32.9%","14.2%","43.4%","42.5%","91.5","9.9","9.1%","42.0%","1.8","8252"
"Rafael Devers","Red Sox",".244",".339","1.29",".377","132","40.5%","76.2%","54.9%","71.9%","82.6%","77.9%","12.1%","42.1%","30.2%","27.7%","17.7%","44.7%","37.5%","92.5","10.5","8.1%","48.4%","5.9","17350"
"DJ LeMahieu","Yankees",".191",".349","1.91",".375","136","30.2%","65.8%","45.6%","75.0%","91.8%","85.5%","6.6%","27.9%","38.5%","33.7%","14.3%","45.3%","40.4%","91.9","6.6","7.0%","48.7%","5.4","9874"
"Jose Altuve","Astros",".252",".303","1.53",".374","138","32.7%","68.1%","46.8%","72.4%","86.9%","80.8%","9.0%","50.0%","32.7%","17.3%","17.5%","41.7%","40.8%","87.4","9.7","7.8%","33.6%","3.5","5417"
"J.D. Davis","Mets",".220",".355","1.56",".373","136","27.7%","74.9%","48.9%","65.8%","78.6%","74.6%","12.4%","38.4%","37.8%","23.8%","11.1%","47.6%","41.3%","91.5","10.2","10.5%","47.3%","2.4","16219"
"Trey Mancini","Orioles",".244",".326","1.44",".373","132","33.4%","69.7%","48.1%","64.1%","83.4%","75.4%","11.8%","35.8%","37.5%","26.7%","15.7%","47.0%","37.3%","90.3","7.8","9.9%","42.7%","3.6","15149"
"Marcus Semien","Athletics",".237",".294","1.06",".373","137","23.0%","68.7%","42.1%","68.3%","89.6%","82.9%","7.2%","44.1%","31.5%","24.5%","14.9%","43.3%","41.7%","88.9","14.9","7.4%","37.6%","7.6","12533"
"Max Muncy","Dodgers",".265",".283","0.98",".372","134","23.1%","64.0%","39.9%","59.0%","81.2%","73.6%","10.5%","44.2%","32.2%","23.7%","11.7%","42.1%","46.2%","89.8","14.4","11.1%","43.0%","4.8","13301"
"Matt Joyce","Braves",".155",".351","0.95",".372","128","25.5%","68.5%","42.7%","65.4%","82.5%","76.3%","10.1%","45.2%","28.4%","26.5%","14.8%","44.5%","40.6%","87.7","16.8","6.5%","33.5%","1.2","3353"
"Bryan Reynolds","Pirates",".189",".387","1.56",".371","131","31.1%","74.2%","47.9%","59.0%","87.1%","75.9%","11.5%","38.6%","35.1%","26.3%","16.4%","40.8%","42.9%","89.5","9.4","6.7%","41.0%","3.2","19326"
"Justin Turner","Dodgers",".219",".304","0.84",".370","132","28.1%","67.6%","45.4%","76.1%","89.0%","84.5%","7.0%","38.2%","37.0%","24.8%","12.4%","37.2%","50.4%","90.3","17.8","7.3%","42.4%","3.4","5235"
"Giovanny Urshela","Yankees",".219",".349","1.23",".369","132","41.8%","77.0%","56.5%","73.0%","84.6%","79.6%","11.5%","39.3%","37.0%","23.7%","12.8%","43.2%","44.0%","90.5","13.6","6.4%","41.5%","3.1","10681"
"Ronald Acuna Jr.","Braves",".238",".337","1.01",".369","126","26.7%","71.5%","45.3%","63.2%","80.0%","74.2%","11.7%","40.1%","32.8%","27.1%","14.1%","40.1%","45.8%","90.6","14.2","12.9%","47.1%","5.6","18401"
"Willson Contreras","Cubs",".261",".314","1.48",".368","127","37.4%","71.2%","49.9%","58.9%","79.4%","69.7%","15.1%","41.2%","32.7%","26.2%","21.9%","40.8%","37.3%","88.5","7.5","11.2%","41.5%","2.7","11609"
"Matt Olson","Athletics",".277",".300","0.70",".368","134","28.6%","67.6%","45.1%","68.6%","78.7%","75.0%","11.3%","51.7%","30.1%","18.2%","15.6%","34.1%","50.3%","92.8","19.2","14.2%","49.4%","3.9","14344"
"Michael Brantley","Astros",".191",".320","1.47",".367","133","29.2%","61.5%","43.7%","82.3%","95.8%","90.8%","4.0%","40.2%","33.5%","26.3%","13.3%","44.8%","41.9%","88.8","10.6","5.3%","36.5%","4.2","4106"
"Corey Dickerson","- - -",".262",".344","0.94",".367","127","46.2%","77.8%","58.4%","71.6%","79.3%","75.6%","14.2%","33.8%","29.5%","36.7%","21.3%","40.1%","38.6%","87.1","16.2","8.2%","34.8%","1.0","10762"
"Bryce Harper","Phillies",".250",".313","1.01",".365","125","31.6%","77.3%","48.3%","52.2%","79.7%","68.3%","15.3%","37.8%","37.8%","24.3%","10.5%","41.4%","48.1%","91.9","13.8","13.5%","45.6%","4.6","11579"
"Yuli Gurriel","Astros",".243",".289","0.97",".364","132","35.4%","69.3%","49.7%","78.0%","92.1%","86.3%","6.8%","45.3%","32.9%","21.8%","17.8%","43.6%","38.6%","89.3","14.3","3.2%","37.4%","3.2","19198"
"David Dahl","Rockies",".222",".386","1.28",".364","110","37.9%","73.3%","52.1%","62.2%","79.2%","71.8%","14.7%","36.9%","35.4%","27.7%","13.3%","49.8%","36.9%","88.7","11.1","10.0%","39.5%","1.4","13744"
"Mike Tauchman","Yankees",".227",".333","1.25",".364","128","22.8%","70.2%","43.1%","67.9%","85.8%","80.4%","8.5%","31.6%","33.2%","35.3%","15.8%","50.5%","33.7%","88.7","11.3","6.3%","38.9%","2.6","15274"
"Tim Anderson","White Sox",".173",".399","1.76",".363","130","45.2%","77.5%","58.5%","61.5%","89.9%","77.0%","13.5%","32.7%","37.1%","30.2%","17.9%","49.9%","32.2%","88.3","8.7","4.9%","37.9%","3.5","15172"
"Cameron Maybin","Yankees",".209",".365","1.05",".362","127","27.3%","63.4%","41.9%","57.7%","83.0%","73.2%","11.2%","33.5%","40.7%","25.7%","20.4%","41.9%","37.7%","89.4","11.8","9.6%","39.5%","1.6","5223"
"Edwin Encarnacion","- - -",".287",".239","0.61",".362","129","28.2%","66.4%","43.6%","66.9%","81.7%","76.0%","10.5%","51.9%","25.5%","22.6%","19.5%","40.6%","39.9%","90.1","22.2","11.9%","42.1%","2.5","2151"
"Joc Pederson","Dodgers",".289",".249","1.02",".362","127","30.2%","68.0%","45.7%","67.9%","84.0%","77.7%","10.2%","49.0%","33.1%","17.9%","16.4%","38.4%","45.2%","91.2","15.2","10.0%","42.8%","3.0","11899"
"Yasmani Grandal","Brewers",".222",".279","1.03",".361","121","24.4%","59.5%","38.4%","63.3%","84.1%","76.2%","9.1%","39.8%","34.3%","25.9%","14.8%","39.8%","45.4%","90.7","14.2","10.3%","41.2%","5.2","11368"
"Luis Arraez","Twins",".104",".355","1.43",".360","125","26.9%","62.1%","42.0%","89.5%","95.4%","93.3%","2.8%","29.0%","34.3%","36.7%","12.3%","53.0%","34.7%","87.1","11.4","1.7%","22.7%","2.1","18568"
"Aristides Aquino","Reds",".317",".266","0.77",".360","119","41.2%","83.0%","55.7%","54.8%","76.0%","65.7%","19.1%","49.7%","28.6%","21.8%","20.4%","40.8%","38.8%","87.8","18.7","10.9%","37.4%","1.0","15482"
"Hunter Dozier","Royals",".243",".339","0.78",".360","124","30.1%","66.0%","44.7%","50.1%","90.4%","74.3%","11.5%","40.8%","34.5%","24.7%","13.9%","40.8%","45.3%","91.1","16.7","8.9%","42.9%","3.0","15117"
"Luke Voit","Yankees",".200",".345","1.14",".360","126","26.6%","78.6%","47.4%","44.2%","78.1%","66.7%","15.8%","47.9%","31.6%","20.5%","13.2%","47.9%","38.9%","89.9","12.6","13.2%","42.4%","1.7","14811"
"Gleyber Torres","Yankees",".256",".296","0.89",".358","125","35.1%","76.3%","51.8%","60.3%","83.8%","74.4%","13.3%","44.4%","31.9%","23.6%","14.9%","45.6%","39.5%","89.1","17.6","9.4%","36.8%","3.6","16997"
"Wilmer Flores","Diamondbacks",".170",".332","0.97",".358","120","31.3%","64.4%","45.9%","85.1%","92.7%","89.7%","4.7%","43.8%","34.5%","21.7%","16.2%","46.0%","37.9%","87.4","16.4","4.7%","30.6%","1.1","5827"
"Andrew McCutchen","Phillies",".201",".299","1.23",".358","120","17.7%","56.6%","35.5%","58.0%","83.1%","76.3%","8.4%","45.7%","32.3%","22.0%","12.8%","50.6%","36.6%","90.6","12.7","7.3%","40.9%","1.5","9847"
"Michael Conforto","Mets",".237",".290","0.90",".358","126","27.3%","72.3%","45.7%","63.4%","81.8%","75.3%","11.3%","41.2%","31.1%","27.7%","13.6%","49.9%","36.5%","89.2","15.9","10.9%","39.0%","3.7","16376"
"Lourdes Gurriel Jr.","Blue Jays",".264",".318","0.92",".358","124","38.6%","69.9%","50.7%","58.6%","78.3%","69.1%","15.7%","39.7%","35.3%","25.0%","19.0%","37.9%","43.1%","90.4","14.4","9.9%","45.3%","1.8","19238"
"Nicholas Castellanos","- - -",".236",".337","0.95",".357","121","40.9%","76.3%","54.7%","58.5%","87.9%","74.5%","14.0%","40.8%","32.8%","26.3%","12.6%","45.1%","42.3%","88.9","13.9","10.1%","41.3%","2.8","11737"
"Kyle Schwarber","Cubs",".282",".276","0.90",".357","120","26.4%","66.8%","43.0%","60.3%","81.6%","73.9%","11.2%","40.1%","30.9%","29.0%","12.7%","45.4%","42.0%","93.5","15.5","14.0%","50.9%","2.6","16478"
"Tommy Edman","Cardinals",".196",".346","1.18",".357","123","32.4%","67.7%","47.7%","72.2%","89.1%","82.6%","8.3%","41.9%","33.6%","24.5%","15.5%","43.4%","41.1%","87.4","14.2","5.3%","33.6%","3.2","19470"
"Ramon Laureano","Athletics",".233",".342","0.91",".356","126","33.1%","67.5%","48.6%","52.8%","86.2%","73.7%","12.8%","43.1%","36.3%","20.6%","16.3%","43.8%","40.0%","89.7","14.7","9.1%","39.7%","3.9","17128"
"Trea Turner","Nationals",".200",".348","1.44",".356","117","31.9%","68.6%","46.7%","60.8%","89.8%","78.0%","10.3%","42.4%","32.7%","24.9%","17.1%","45.4%","37.6%","90.4","9.9","6.1%","42.0%","3.5","16252"
"Max Kepler","Twins",".267",".244","0.78",".355","121","30.6%","75.8%","49.3%","62.1%","92.2%","81.2%","9.3%","53.4%","26.8%","19.8%","19.6%","38.0%","42.4%","89.7","18.2","8.4%","41.7%","4.4","12144"
"Tom Murphy","Mariners",".262",".340","0.74",".355","126","31.9%","64.0%","44.9%","53.4%","83.6%","70.9%","13.1%","50.6%","28.7%","20.7%","16.7%","45.4%","37.9%","90.6","18.9","10.3%","44.8%","3.2","13499"
"Matt Chapman","Athletics",".257",".270","0.96",".354","125","24.8%","65.0%","42.0%","67.5%","83.5%","78.1%","9.2%","42.4%","34.6%","23.0%","15.9%","38.7%","45.3%","92.7","16.4","10.9%","48.1%","6.1","16505"
"Brandon Lowe","Rays",".243",".377","0.71",".354","125","34.1%","79.5%","54.2%","43.0%","76.6%","64.8%","19.1%","44.6%","34.8%","20.7%","11.4%","45.7%","42.9%","91.6","19.2","14.1%","46.2%","2.6","18882"
"Ryan Braun","Brewers",".220",".325","1.66",".354","117","37.4%","72.7%","51.3%","59.9%","89.2%","76.3%","12.2%","41.2%","34.2%","24.6%","17.1%","37.5%","45.4%","91.5","7.2","8.6%","44.3%","1.9","3410"
"Ozzie Albies","Braves",".205",".325","1.04",".354","117","37.9%","81.4%","55.5%","67.4%","86.8%","78.9%","11.7%","45.5%","33.8%","20.7%","14.8%","42.9%","42.3%","88.9","15.6","6.2%","34.0%","4.6","16556"
"Eric Thames","Brewers",".258",".313","0.72",".354","116","30.9%","72.9%","47.2%","51.7%","80.8%","69.1%","14.6%","43.0%","35.7%","21.3%","13.2%","38.4%","48.4%","90.9","19.0","8.5%","43.0%","1.9","3711"
"Shin-Soo Choo","Rangers",".190",".333","1.69",".353","112","22.7%","65.9%","41.9%","50.3%","81.4%","72.0%","11.7%","40.1%","36.1%","23.8%","11.8%","43.4%","44.9%","91.9","9.2","8.0%","48.9%","1.7","3174"
"Starling Marte","Pirates",".208",".319","1.79",".353","119","36.4%","77.4%","53.3%","63.5%","85.8%","76.9%","12.3%","39.7%","35.0%","25.3%","19.1%","43.5%","37.5%","88.6","8.2","8.0%","37.9%","3.0","9241"
"Mike Yastrzemski","Giants",".245",".325","0.78",".353","121","29.2%","69.4%","47.1%","64.2%","81.5%","75.5%","11.5%","42.2%","29.5%","28.4%","17.2%","39.6%","43.3%","89.6","19.3","10.1%","42.9%","2.2","14854"
"Jorge Polanco","Twins",".190",".328","0.66",".352","119","28.5%","67.2%","44.6%","71.9%","90.7%","83.6%","7.3%","37.4%","36.5%","26.1%","15.3%","45.2%","39.5%","88.1","19.0","6.3%","32.8%","4.0","13152"
"Shohei Ohtani","Angels",".219",".354","2.03",".352","123","32.8%","74.1%","49.1%","66.1%","81.0%","75.0%","12.3%","30.9%","37.8%","31.3%","8.6%","41.7%","49.6%","92.8","6.7","11.4%","46.8%","1.8","19755"
"Danny Santana","Rangers",".251",".353","1.15",".352","111","41.9%","74.2%","55.6%","58.2%","81.8%","71.5%","15.8%","42.1%","32.0%","25.9%","12.8%","42.1%","45.1%","91.4","13.4","8.8%","43.5%","1.9","10322"
"Tommy La Stella","Angels",".192",".282","1.37",".351","122","26.0%","58.7%","41.7%","82.2%","93.5%","89.9%","4.2%","39.8%","33.7%","26.5%","14.4%","42.4%","43.2%","88.2","13.2","4.8%","30.7%","2.0","12371"
"Jesse Winker","Reds",".204",".286","1.96",".351","113","24.7%","68.5%","44.1%","71.9%","89.2%","83.8%","7.2%","39.9%","36.3%","23.7%","15.5%","43.2%","41.4%","89.2","7.2","4.3%","39.9%","1.0","13590"
"Willie Calhoun","Rangers",".256",".262","0.82",".351","110","33.3%","70.9%","49.1%","76.8%","90.8%","85.4%","7.2%","51.9%","32.2%","15.9%","18.6%","40.7%","40.7%","89.7","17.6","5.4%","40.7%","0.5","17838"
"Francisco Lindor","Indians",".234",".291","1.20",".349","114","35.4%","73.7%","51.2%","75.4%","91.6%","85.0%","7.7%","44.6%","32.9%","22.5%","16.4%","41.6%","42.0%","91.0","12.2","7.1%","40.8%","4.4","12916"
"Tommy Pham","Rays",".176",".316","2.15",".349","121","19.9%","63.0%","38.4%","62.6%","88.6%","80.9%","7.3%","38.7%","36.2%","25.2%","15.3%","41.3%","43.4%","90.9","5.2","7.2%","44.9%","3.3","2967"
"Mike Moustakas","Brewers",".262",".250","0.79",".348","113","33.9%","74.1%","49.8%","66.3%","86.0%","77.9%","11.0%","40.7%","30.2%","29.0%","20.8%","37.7%","41.5%","89.5","17.4","10.1%","40.5%","2.8","4892"
"Ji-Man Choi","Rays",".198",".303","1.20",".348","121","24.1%","68.0%","42.7%","58.2%","84.4%","75.9%","10.3%","37.2%","38.8%","23.9%","10.4%","46.9%","42.7%","91.2","12.7","9.4%","42.7%","1.9","5452"
"Mitch Moreland","Red Sox",".255",".271","1.29",".347","112","29.8%","75.2%","48.8%","58.5%","81.1%","73.1%","13.1%","47.3%","31.0%","21.7%","11.5%","53.1%","35.4%","90.8","10.0","11.1%","45.6%","0.7","3086"
"Javier Baez","Cubs",".250",".345","1.59",".347","114","44.1%","74.3%","55.2%","54.2%","79.5%","66.7%","18.4%","36.1%","36.1%","27.9%","18.0%","44.6%","37.4%","91.1","7.7","12.5%","43.2%","4.4","12979"
"Rhys Hoskins","Phillies",".228",".267","0.58",".347","113","24.0%","61.0%","39.2%","68.1%","84.0%","78.2%","8.5%","47.4%","33.3%","19.4%","15.6%","38.2%","46.2%","89.8","23.9","8.4%","38.5%","2.2","16472"
"Gary Sanchez","Yankees",".293",".244","0.67",".346","116","35.3%","59.2%","44.0%","57.8%","83.3%","70.2%","13.1%","49.8%","29.5%","20.7%","19.9%","38.0%","42.1%","91.0","18.9","18.4%","41.9%","2.3","11442"
"Paul Goldschmidt","Cardinals",".216",".303","0.98",".346","116","31.4%","67.7%","46.4%","69.9%","80.1%","76.0%","11.1%","38.0%","37.6%","24.4%","14.5%","38.0%","47.5%","90.1","15.4","10.6%","41.7%","2.9","9218"
"Donovan Solano","Giants",".126",".409","1.27",".346","116","39.0%","66.3%","50.6%","74.9%","89.0%","82.7%","8.7%","28.0%","45.2%","26.8%","13.7%","48.2%","38.1%","87.0","14.5","4.2%","42.9%","1.3","8623"
"Christian Walker","Diamondbacks",".217",".312","1.08",".346","112","28.2%","78.0%","48.7%","58.0%","81.9%","73.8%","12.8%","39.5%","36.5%","24.0%","13.9%","40.0%","46.1%","91.1","14.7","11.5%","48.8%","2.2","13419"
"Aledmys Diaz","Astros",".195",".268","1.23",".345","119","27.8%","68.0%","45.1%","62.2%","92.0%","81.6%","8.3%","46.8%","31.9%","21.3%","17.0%","50.5%","32.4%","88.3","12.1","5.3%","33.5%","1.1","15937"
"Omar Narvaez","Mariners",".182",".306","0.82",".345","119","28.9%","72.3%","47.7%","72.9%","83.0%","79.6%","9.8%","38.6%","33.3%","28.0%","18.3%","51.9%","29.8%","85.5","17.9","5.3%","27.4%","1.8","13338"
"Brett Gardner","Yankees",".253",".265","1.16",".344","115","24.8%","56.0%","38.3%","67.6%","91.2%","82.6%","6.7%","46.4%","32.9%","20.7%","20.5%","45.1%","34.5%","87.8","13.9","3.4%","32.6%","3.6","9927"
"Jose Abreu","White Sox",".219",".320","1.45",".344","117","37.3%","67.1%","49.5%","62.1%","89.2%","77.2%","11.3%","44.3%","29.7%","26.0%","15.7%","43.7%","40.7%","92.1","10.9","12.0%","48.2%","1.9","15676"
"Jake Cave","Twins",".197",".358","2.43",".343","113","31.7%","72.9%","47.7%","48.6%","84.3%","69.8%","14.4%","41.4%","33.6%","25.0%","5.5%","42.2%","52.3%","90.5","7.4","10.9%","43.8%","0.9","14477"
"Eloy Jimenez","White Sox",".246",".308","1.41",".343","116","36.7%","71.6%","49.9%","56.5%","80.2%","69.4%","15.3%","43.2%","33.6%","23.2%","18.2%","44.0%","37.8%","91.2","9.3","12.2%","47.9%","1.9","17484"
"Cavan Biggio","Blue Jays",".195",".309","0.54",".343","114","15.8%","63.3%","35.9%","47.1%","85.6%","75.9%","8.7%","49.4%","32.6%","18.0%","12.4%","48.1%","39.5%","88.9","20.1","7.7%","39.7%","2.4","19252"
