"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Christian Yelich","Brewers",".342",".355","1.20",".442","174","30.6%","71.2%","45.2%","56.8%","87.0%","73.8%","11.8%","39.3%","37.4%","23.3%","14.4%","34.8%","50.8%","93.3","11.3","15.8%","48.7%","7.8","11477"
"Mike Trout","Angels",".353",".298","0.49",".436","180","20.5%","61.2%","36.8%","69.2%","88.8%","82.3%","6.5%","42.4%","33.3%","24.3%","13.0%","43.2%","43.8%","90.9","22.2","17.5%","43.8%","8.6","10155"
"Yordan Alvarez","Astros",".342",".366","1.02",".432","178","30.7%","63.0%","43.2%","64.1%","84.9%","75.9%","10.4%","38.5%","37.6%","24.0%","10.0%","38.9%","51.1%","92.2","13.4","16.3%","48.4%","3.8","19556"
"Alex Bregman","Astros",".296",".281","0.69",".418","168","18.8%","58.8%","35.1%","77.0%","91.7%","87.0%","4.6%","45.3%","36.3%","18.4%","14.8%","40.3%","44.9%","89.3","19.6","4.6%","37.2%","8.5","17678"
"Nelson Cruz","Twins",".328",".351","0.98",".417","163","30.5%","72.0%","46.2%","53.6%","80.9%","69.7%","14.0%","41.7%","32.8%","25.5%","12.0%","35.6%","52.5%","93.7","13.1","18.7%","51.4%","4.3","2434"
"Cody Bellinger","Dodgers",".324",".302","0.74",".415","162","26.8%","70.4%","44.4%","69.5%","83.0%","78.1%","9.7%","47.9%","32.3%","19.8%","13.2%","37.6%","49.2%","91.1","17.9","12.6%","45.6%","7.8","15998"
"Anthony Rendon","Nationals",".279",".323","0.72",".413","154","23.8%","70.1%","43.1%","77.8%","93.2%","88.3%","5.1%","42.1%","32.9%","25.0%","16.9%","38.5%","44.7%","90.4","19.6","10.9%","46.6%","7.0","12861"
"Ketel Marte","Diamondbacks",".264",".342","1.24",".405","150","31.8%","71.6%","47.6%","73.3%","90.6%","83.6%","7.8%","43.7%","35.5%","20.8%","15.7%","42.3%","42.1%","90.0","11.6","9.1%","40.0%","7.1","13613"
"Mitch Garver","Twins",".357",".277","0.82",".404","155","20.0%","55.6%","35.0%","54.9%","88.0%","77.0%","8.1%","51.3%","27.4%","21.2%","18.1%","34.5%","47.3%","91.1","15.3","15.0%","50.0%","3.9","15161"
"Joey Gallo","Rangers",".344",".368","0.58",".401","144","24.2%","65.5%","40.7%","35.8%","73.1%","59.8%","16.4%","52.7%","26.4%","20.9%","13.2%","34.9%","51.9%","94.8","22.4","25.6%","52.7%","3.3","14128"
