"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Mookie Betts","Red Sox",".294",".368","0.75",".449","185","19.8%","57.0%","35.6%","70.6%","93.0%","85.9%","5.0%","47.2%","34.8%","18.0%","12.2%","43.3%","44.5%","92.3","18.5","13.1%","50.2%","10.4","13611"
"Mike Trout","Angels",".316",".346","0.69",".447","190","21.8%","59.1%","37.6%","69.0%","91.7%","84.1%","6.0%","40.2%","37.3%","22.5%","16.0%","39.6%","44.4%","91.2","18.6","15.3%","46.0%","9.8","10155"
"J.D. Martinez","Red Sox",".299",".375","1.28",".427","170","33.2%","76.6%","50.4%","58.9%","83.4%","73.7%","13.3%","37.7%","30.9%","31.4%","10.9%","44.2%","44.9%","93.0","10.8","15.1%","52.3%","5.9","6184"
"Christian Yelich","Brewers",".272",".373","2.20",".422","166","27.7%","64.6%","44.0%","62.2%","88.1%","79.0%","9.2%","34.9%","38.1%","27.0%","14.5%","37.9%","47.6%","92.6","5.0","12.2%","50.8%","7.6","11477"
"Max Muncy","Dodgers",".319",".299","0.76",".407","162","21.5%","57.8%","37.0%","58.0%","80.4%","72.9%","10.0%","44.7%","31.2%","24.1%","12.4%","40.2%","47.4%","90.3","18.4","16.2%","45.9%","5.2","13301"
"Justin Turner","Dodgers",".205",".334","0.66",".396","154","25.8%","65.9%","43.3%","81.7%","92.0%","88.5%","5.0%","39.0%","31.6%","29.4%","10.9%","44.1%","45.0%","89.1","18.3","6.7%","36.7%","4.2","5235"
"Alex Bregman","Astros",".246",".289","0.80",".396","156","20.0%","60.5%","37.1%","79.1%","92.8%","88.5%","4.3%","48.4%","32.4%","19.1%","17.2%","47.5%","35.4%","89.4","16.8","7.4%","39.8%","7.6","17678"
"Juan Soto","Nationals",".225",".338","1.87",".392","145","21.9%","60.7%","38.8%","68.1%","85.7%","80.1%","7.7%","36.1%","36.4%","27.5%","20.3%","44.9%","34.8%","90.5","6.2","10.1%","42.1%","3.7","20123"
"Jose Ramirez","Indians",".282",".252","0.73",".391","146","22.3%","62.3%","38.5%","79.4%","92.1%","87.7%","4.7%","50.0%","30.2%","19.8%","18.3%","45.6%","36.1%","89.0","19.0","6.9%","34.5%","8.0","13510"
"Aaron Judge","Yankees",".249",".368","1.19",".391","150","25.1%","63.8%","40.3%","44.1%","79.1%","65.9%","13.7%","40.2%","31.2%","28.6%","13.5%","38.3%","48.1%","94.7","12.4","15.4%","54.1%","5.1","15640"
"Nolan Arenado","Rockies",".264",".314","1.03",".391","132","33.2%","73.3%","49.8%","66.2%","84.4%","77.3%","11.3%","39.8%","36.8%","23.4%","15.4%","41.7%","42.9%","89.8","15.3","7.2%","40.2%","5.7","9777"
"Paul Goldschmidt","Diamondbacks",".243",".359","1.06",".390","146","28.8%","62.4%","42.3%","66.7%","82.2%","75.9%","10.2%","37.9%","36.4%","25.7%","16.9%","36.9%","46.2%","90.8","15.6","13.1%","43.7%","5.2","9218"
"Shohei Ohtani","Angels",".279",".350","1.32",".390","151","32.3%","65.3%","45.7%","59.1%","80.6%","71.6%","13.0%","36.9%","37.3%","25.8%","10.2%","46.7%","43.1%","92.9","12.3","14.2%","50.0%","2.8","19755"
"Ronald Acuna Jr.","Braves",".259",".352","1.07",".388","143","27.5%","72.8%","46.0%","59.8%","82.7%","74.6%","11.7%","43.8%","36.1%","20.1%","13.7%","41.9%","44.4%","90.9","13.1","13.1%","46.6%","3.7","18401"
"Brandon Nimmo","Mets",".219",".351","1.35",".385","148","19.7%","63.6%","39.2%","57.5%","82.7%","75.6%","9.5%","44.7%","32.1%","23.2%","18.4%","44.4%","37.2%","89.9","10.7","5.5%","42.0%","4.5","12927"
"Trevor Story","Rockies",".276",".345","0.80",".384","128","32.2%","74.6%","50.3%","60.3%","87.2%","77.4%","11.4%","43.3%","34.3%","22.4%","15.9%","39.6%","44.5%","91.0","16.0","12.4%","45.6%","5.1","12564"
"Anthony Rendon","Nationals",".227",".323","0.75",".383","139","28.9%","70.1%","47.7%","78.5%","92.2%","87.7%","5.9%","40.2%","32.7%","27.0%","14.5%","47.7%","37.8%","90.7","17.9","9.5%","44.6%","6.2","12861"
"Steve Pearce","- - -",".228",".303","1.22",".382","140","24.3%","69.5%","43.0%","57.0%","87.7%","77.6%","9.6%","54.0%","29.0%","17.0%","16.5%","46.6%","36.9%","89.4","11.9","11.4%","39.2%","1.6","9957"
"Freddie Freeman","Braves",".196",".358","1.16",".378","137","34.5%","85.0%","55.6%","66.8%","84.0%","77.8%","12.4%","43.1%","31.1%","25.8%","11.0%","47.2%","41.9%","89.1","14.5","9.1%","39.8%","5.3","5361"
