"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Tyler White","Astros",".257",".307","0.91",".377","143","26.1%","62.8%","41.3%","72.0%","89.3%","82.9%","7.1%","42.0%","37.7%","20.4%","21.0%","46.3%","32.7%","89.0","17.0","9.3%","36.4%","1.5","15564"
"Manny Machado","- - -",".241",".304","0.95",".377","140","32.2%","73.5%","48.8%","65.8%","89.0%","79.8%","9.8%","38.1%","36.2%","25.7%","17.4%","43.9%","38.6%","91.6","14.4","10.1%","48.2%","6.2","11493"
"Eugenio Suarez","Reds",".243",".322","1.03",".376","135","25.9%","70.0%","44.6%","56.6%","87.4%","77.1%","10.2%","42.7%","35.8%","21.5%","8.4%","43.0%","48.6%","91.2","14.8","9.7%","45.5%","3.9","12552"
"Bryce Harper","Nationals",".247",".289","1.05",".376","134","26.1%","75.4%","45.4%","55.4%","79.6%","71.1%","13.1%","42.3%","29.5%","28.2%","11.8%","45.9%","42.3%","91.0","14.4","10.0%","45.1%","3.4","11579"
"Matt Carpenter","Cardinals",".266",".291","0.56",".375","140","21.0%","57.7%","37.0%","56.5%","87.1%","77.3%","8.4%","48.3%","29.3%","22.4%","9.3%","41.7%","49.0%","90.7","21.6","12.7%","44.5%","5.0","8090"
"Jesus Aguilar","Brewers",".264",".309","0.86",".374","134","35.6%","60.1%","45.5%","61.4%","82.4%","72.6%","12.5%","43.5%","33.4%","23.1%","15.3%","40.7%","44.0%","89.8","16.2","10.9%","42.6%","3.1","11342"
"Xander Bogaerts","Red Sox",".234",".317","1.22",".373","133","30.1%","61.3%","43.2%","65.8%","89.3%","79.8%","8.7%","43.4%","34.8%","21.8%","16.5%","45.6%","37.9%","90.6","12.6","9.4%","41.5%","4.9","12161"
"Joey Votto","Reds",".135",".333","1.21",".370","130","16.4%","68.6%","39.7%","78.4%","86.7%","84.8%","6.0%","35.3%","33.8%","30.9%","9.1%","49.9%","41.0%","88.1","13.4","6.7%","34.8%","3.5","4314"
"Matt Chapman","Athletics",".230",".338","1.03",".369","138","24.5%","64.0%","41.4%","63.8%","86.4%","78.7%","8.8%","40.4%","35.0%","24.6%","16.1%","40.7%","43.2%","93.1","14.9","8.2%","47.6%","6.6","16505"
"Francisco Lindor","Indians",".242",".279","0.98",".368","130","32.7%","67.9%","46.9%","74.5%","90.9%","84.1%","7.5%","40.4%","34.6%","25.0%","16.1%","42.3%","41.6%","90.6","14.7","9.1%","40.5%","7.6","12916"
"David Peralta","Diamondbacks",".223",".328","1.73",".368","131","31.8%","69.5%","48.0%","67.5%","84.7%","78.2%","10.5%","39.0%","34.7%","26.3%","16.4%","34.9%","48.6%","91.5","6.7","7.5%","45.7%","3.9","2136"
"Charlie Blackmon","Rockies",".211",".329","1.30",".368","117","31.8%","66.6%","47.4%","69.9%","89.3%","82.1%","8.5%","40.8%","37.0%","22.2%","16.0%","48.3%","35.8%","87.5","12.0","5.9%","35.2%","2.8","7859"
"Jeff McNeil","Mets",".142",".359","0.97",".368","137","35.3%","84.2%","56.0%","74.9%","90.9%","85.1%","8.4%","35.6%","35.1%","29.3%","22.0%","47.8%","30.2%","86.6","15.5","2.4%","28.8%","2.7","15362"
"Ji-Man Choi","- - -",".242",".315","1.23",".367","136","23.4%","65.3%","40.9%","51.2%","83.2%","72.5%","11.2%","41.6%","30.7%","27.7%","13.9%","42.3%","43.8%","90.3","13.8","11.7%","42.3%","1.1","5452"
"Mitch Haniger","Mariners",".208",".336","1.17",".367","137","25.9%","62.5%","41.8%","61.1%","87.1%","78.0%","9.2%","44.8%","36.7%","18.5%","16.0%","46.8%","37.1%","90.2","12.7","9.0%","42.9%","4.5","14274"
"Javier Baez","Cubs",".264",".347","1.41",".366","131","45.5%","78.0%","57.7%","54.9%","81.6%","68.5%","18.2%","40.5%","33.3%","26.1%","19.4%","44.8%","35.8%","90.6","9.6","11.3%","42.8%","5.3","12979"
"Jesse Winker","Reds",".132",".336","1.24",".366","127","22.2%","65.2%","40.8%","70.4%","92.4%","85.5%","5.9%","37.1%","37.1%","25.7%","11.8%","44.3%","43.9%","90.9","13.6","5.9%","42.2%","0.9","13590"
"Khris Davis","Athletics",".302",".261","0.72",".365","136","27.8%","78.4%","49.3%","49.1%","77.7%","68.5%","15.6%","35.8%","40.2%","24.0%","10.8%","43.9%","45.3%","92.5","18.1","16.7%","47.5%","2.7","9112"
"Robinson Cano","Mariners",".168",".329","1.63",".364","135","33.4%","68.3%","47.7%","69.0%","92.3%","82.6%","8.3%","34.7%","37.0%","28.3%","11.3%","47.2%","41.5%","93.1","8.3","7.5%","51.7%","2.9","3269"
"Jose Altuve","Astros",".135",".352","1.53",".363","134","33.3%","68.7%","47.3%","73.5%","91.0%","83.6%","7.8%","41.4%","38.6%","20.0%","16.6%","50.1%","33.3%","87.2","10.1","5.2%","33.8%","4.9","5417"
"Rhys Hoskins","Phillies",".251",".272","0.56",".363","128","22.8%","60.6%","39.1%","64.2%","87.4%","79.8%","7.9%","50.0%","31.1%","18.9%","19.9%","45.6%","34.5%","88.9","22.3","10.6%","38.9%","2.8","16472"
"Nicholas Castellanos","Tigers",".202",".361","0.99",".363","130","38.6%","78.8%","55.1%","52.5%","84.4%","71.2%","15.9%","44.9%","30.3%","24.8%","12.1%","40.0%","47.9%","89.6","15.2","10.6%","40.5%","3.0","11737"
"Scooter Gennett","Reds",".180",".358","1.11",".362","125","38.2%","73.1%","52.9%","75.3%","86.9%","82.0%","9.5%","40.5%","32.1%","27.4%","15.6%","45.6%","38.8%","87.3","14.0","5.1%","31.9%","4.5","10339"
"Wilson Ramos","- - -",".181",".353","2.23",".361","131","38.5%","79.0%","54.2%","64.9%","88.1%","78.1%","11.9%","40.1%","32.2%","27.6%","17.4%","43.4%","39.1%","91.3","4.4","6.3%","47.4%","2.2","1433"
"Miguel Andujar","Yankees",".230",".316","1.23",".361","130","39.4%","74.0%","53.1%","69.7%","91.8%","81.9%","9.6%","47.5%","29.2%","23.3%","19.4%","44.6%","36.0%","89.2","12.2","6.0%","36.5%","2.8","15878"
"Nelson Cruz","Mariners",".252",".264","1.14",".361","133","31.9%","69.7%","46.5%","51.1%","85.8%","71.1%","13.4%","40.8%","34.8%","24.5%","16.3%","41.5%","42.3%","93.9","12.8","13.5%","51.3%","2.5","2434"
"Aaron Hicks","Yankees",".219",".264","1.04",".360","129","20.9%","65.5%","39.6%","67.1%","82.7%","78.0%","8.7%","45.4%","36.9%","17.8%","18.6%","41.9%","39.5%","89.7","13.2","8.5%","43.0%","5.0","5297"
"Giancarlo Stanton","Yankees",".243",".333","1.23",".360","129","32.5%","65.3%","44.9%","52.2%","80.5%","67.8%","14.5%","38.9%","37.0%","24.0%","19.0%","38.7%","42.3%","93.7","11.6","14.7%","50.7%","4.3","4949"
"Franmil Reyes","Padres",".218",".345","1.65",".360","129","31.7%","69.1%","46.4%","54.3%","81.0%","69.9%","14.0%","33.7%","43.1%","23.2%","14.9%","40.9%","44.2%","92.2","6.8","9.9%","47.0%","1.2","14566"
"Lorenzo Cain","Brewers",".109",".357","2.37",".359","124","24.9%","64.7%","42.3%","69.1%","90.9%","83.7%","6.9%","29.8%","37.4%","32.9%","18.1%","43.6%","38.3%","89.1","4.9","2.7%","40.5%","5.7","9077"
"Michael Brantley","Indians",".160",".319","1.49",".359","124","27.1%","65.8%","44.1%","78.7%","97.3%","90.9%","4.0%","40.4%","36.8%","22.8%","12.2%","50.7%","37.1%","90.2","9.5","3.1%","37.1%","3.5","4106"
"Anthony Rizzo","Cubs",".187",".287","1.02",".359","125","32.8%","67.9%","47.5%","74.9%","91.9%","85.1%","7.1%","45.3%","34.5%","20.2%","16.6%","49.3%","34.1%","90.1","14.7","5.9%","40.4%","2.9","3473"
"Kris Bryant","Cubs",".188",".342","0.84",".359","125","29.9%","73.6%","48.7%","58.7%","84.2%","75.2%","12.1%","48.1%","31.9%","20.0%","18.9%","49.8%","31.2%","85.8","17.8","8.4%","33.3%","2.3","15429"
"Tommy Pham","- - -",".188",".342","1.71",".359","130","23.0%","61.2%","39.7%","54.8%","87.4%","76.8%","9.2%","37.8%","39.8%","22.4%","12.6%","38.9%","48.5%","92.9","6.6","9.5%","49.6%","4.1","2967"
"Adam Eaton","Nationals",".110",".364","1.80",".358","122","28.4%","60.6%","42.8%","72.8%","89.2%","83.2%","7.2%","31.9%","31.9%","36.2%","18.7%","48.6%","32.7%","87.7","9.0","3.1%","30.4%","1.9","11205"
"David Dahl","Rockies",".261",".311","1.04",".357","110","39.6%","77.0%","55.4%","62.4%","78.4%","71.8%","15.6%","45.4%","33.3%","21.3%","15.8%","46.4%","37.7%","88.7","14.3","7.1%","38.8%","1.0","13744"
"Andrew Benintendi","Red Sox",".174",".328","1.15",".357","122","28.4%","70.8%","45.9%","76.5%","87.5%","83.5%","7.6%","38.4%","33.4%","28.2%","13.7%","58.3%","28.0%","88.6","12.8","6.0%","33.2%","4.4","17901"
"David Freese","- - -",".175",".360","1.98",".357","126","27.5%","62.1%","42.9%","64.9%","82.9%","76.5%","10.1%","36.0%","33.6%","30.3%","16.1%","47.9%","36.0%","90.4","7.0","8.5%","45.0%","2.0","9549"
"Jose Martinez","Cardinals",".152",".351","1.67",".356","126","29.5%","63.8%","43.6%","68.6%","88.1%","80.3%","8.6%","32.4%","32.9%","34.7%","14.0%","45.5%","40.5%","91.0","8.1","9.0%","44.1%","2.4","7996"
"Shin-Soo Choo","Rangers",".170",".330","1.80",".355","117","23.9%","62.4%","40.6%","59.8%","82.1%","74.6%","10.3%","38.1%","35.1%","26.8%","14.5%","43.5%","42.0%","89.3","6.1","10.3%","40.0%","2.3","3174"
"Francisco Cervelli","Pirates",".172",".308","0.93",".355","124","21.5%","62.9%","39.4%","54.7%","86.9%","77.0%","9.1%","38.6%","34.6%","26.8%","15.7%","50.4%","33.9%","88.8","16.3","8.3%","39.8%","2.6","5275"
"Ben Zobrist","Cubs",".134",".331","1.59",".355","123","26.0%","59.6%","40.8%","76.8%","92.1%","86.6%","5.5%","47.1%","31.5%","21.3%","11.9%","52.6%","35.5%","89.9","9.0","2.7%","38.2%","3.6","7435"
"Jorge Soler","Royals",".202",".340","1.38",".354","123","28.8%","68.0%","43.8%","42.2%","80.4%","64.8%","15.4%","53.2%","26.9%","19.9%","17.3%","39.7%","42.9%","89.6","10.6","9.6%","41.0%","0.9","14221"
"Joc Pederson","Dodgers",".273",".253","0.90",".354","126","33.1%","62.6%","45.6%","66.9%","83.2%","76.4%","10.8%","42.7%","34.4%","22.9%","15.6%","42.4%","42.0%","91.5","15.8","7.6%","39.8%","2.7","11899"
"Daniel Robertson","Rays",".152",".328","1.67",".354","128","25.7%","59.3%","39.2%","58.3%","87.6%","76.1%","9.4%","41.5%","33.3%","25.1%","22.2%","43.0%","34.8%","86.6","7.7","4.8%","34.8%","2.4","14145"
"Gregory Polanco","Pirates",".245",".287","0.69",".353","123","28.5%","69.6%","45.0%","65.5%","86.1%","78.3%","9.8%","45.7%","34.6%","19.7%","20.0%","46.0%","34.0%","88.8","20.0","9.0%","37.3%","2.5","12907"
"J.T. Realmuto","Marlins",".208",".312","1.06",".353","126","29.9%","67.8%","47.0%","63.9%","86.9%","78.9%","9.9%","45.1%","35.3%","19.6%","18.0%","43.5%","38.5%","89.0","14.7","8.2%","40.6%","4.9","11739"
"Yasmani Grandal","Dodgers",".225",".278","0.98",".352","125","22.7%","57.9%","38.4%","59.0%","81.8%","74.4%","9.9%","48.3%","32.9%","18.8%","19.7%","39.5%","40.8%","88.9","14.1","11.0%","39.8%","4.7","11368"
"Ryan Zimmerman","Nationals",".222",".284","1.46",".351","118","28.8%","56.2%","40.4%","64.0%","88.3%","78.4%","8.7%","31.5%","42.6%","26.0%","17.0%","43.4%","39.6%","92.6","7.1","11.9%","52.8%","1.3","4220"
"Stephen Piscotty","Athletics",".223",".290","1.36",".351","126","37.7%","73.6%","53.3%","59.5%","87.1%","76.0%","12.8%","39.4%","36.8%","23.8%","12.8%","44.6%","42.6%","88.5","13.2","8.7%","38.4%","3.1","13367"
"Travis Shaw","Brewers",".239",".242","0.84",".351","119","28.8%","66.5%","44.4%","70.9%","87.9%","81.4%","8.2%","45.8%","32.5%","21.7%","19.9%","40.3%","39.8%","88.9","16.9","9.3%","38.0%","3.6","11982"
"Didi Gregorius","Yankees",".226",".259","0.93",".350","122","36.2%","74.7%","51.5%","71.0%","90.3%","82.1%","9.2%","40.4%","36.9%","22.7%","22.5%","41.6%","36.0%","87.0","16.0","4.0%","30.6%","4.7","6012"
"Whit Merrifield","Royals",".134",".352","0.99",".349","119","32.8%","67.7%","47.7%","73.1%","88.4%","82.3%","8.4%","33.7%","35.4%","31.0%","15.4%","47.7%","36.9%","87.0","16.9","4.2%","31.0%","5.2","11281"
"Gleyber Torres","Yankees",".209",".321","0.77",".349","122","34.4%","68.7%","48.4%","55.9%","81.8%","70.9%","14.1%","42.2%","32.7%","25.1%","14.0%","47.6%","38.4%","88.9","19.0","9.2%","36.8%","2.0","16997"
"Justin Smoak","Blue Jays",".216",".297","0.93",".349","121","24.6%","63.5%","40.3%","60.8%","85.5%","76.5%","9.5%","49.1%","29.5%","21.3%","14.5%","51.7%","33.8%","89.5","15.0","10.8%","41.8%","1.7","9054"
"Yasiel Puig","Dodgers",".227",".286","1.18",".349","123","31.1%","71.5%","47.8%","59.0%","89.8%","78.1%","10.5%","41.9%","35.0%","23.1%","24.1%","37.5%","38.4%","89.5","12.1","10.3%","40.3%","1.8","14225"
"Justin Upton","Angels",".206",".321","1.18",".348","123","24.9%","66.4%","42.6%","55.6%","79.5%","71.5%","12.1%","46.6%","32.5%","20.9%","16.8%","39.4%","43.8%","90.7","11.9","13.5%","47.4%","3.1","5222"
"Matt Kemp","Dodgers",".190",".339","0.92",".348","122","34.3%","73.7%","50.7%","60.7%","80.3%","72.6%","13.9%","42.1%","35.9%","22.0%","13.8%","42.7%","43.5%","89.7","15.9","10.5%","37.9%","1.6","5631"
"Omar Narvaez","White Sox",".154",".330","1.45",".348","122","23.4%","65.0%","42.6%","69.9%","89.0%","83.3%","7.1%","34.6%","37.3%","28.1%","18.0%","53.5%","28.6%","85.6","12.9","2.3%","24.4%","1.1","13338"
"Jed Lowrie","Athletics",".181",".304","0.76",".347","123","25.2%","73.6%","45.8%","67.5%","87.7%","81.3%","8.5%","42.3%","32.5%","25.3%","13.4%","46.5%","40.1%","89.2","17.4","5.5%","37.6%","5.0","4418"
"Andrew McCutchen","- - -",".169",".304","1.16",".347","121","19.3%","64.1%","39.8%","65.3%","84.5%","79.5%","8.2%","43.9%","36.4%","19.7%","13.5%","43.2%","43.4%","90.0","13.5","7.9%","41.5%","2.7","9847"
"C.J. Cron","Rays",".240",".293","1.04",".347","123","38.5%","70.4%","50.8%","61.4%","82.2%","72.6%","14.0%","45.4%","33.5%","21.1%","21.3%","39.1%","39.6%","88.0","15.2","11.9%","36.6%","2.2","12546"
"Johan Camargo","Braves",".185",".315","1.27",".346","116","36.0%","69.7%","49.5%","66.7%","81.8%","75.2%","12.3%","41.2%","33.4%","25.3%","18.7%","45.1%","36.2%","88.0","12.6","4.7%","33.7%","3.3","14950"
"Edwin Encarnacion","Indians",".228",".265","0.82",".346","115","29.0%","67.2%","44.6%","61.8%","84.4%","75.7%","10.8%","45.6%","31.5%","22.9%","15.2%","42.4%","42.4%","89.9","18.0","10.4%","40.4%","1.0","2151"
"Eduardo Escobar","- - -",".217",".308","0.75",".346","118","39.3%","72.8%","52.9%","69.0%","85.6%","78.3%","11.5%","40.0%","33.9%","26.1%","15.2%","46.7%","38.2%","86.5","18.9","7.8%","27.2%","3.6","6153"
"Cody Bellinger","Dodgers",".210",".313","0.99",".345","120","28.3%","66.9%","45.0%","62.3%","78.0%","72.4%","12.4%","45.2%","32.0%","22.7%","18.1%","41.8%","40.1%","89.8","16.2","8.6%","38.1%","3.6","15998"
"Josh Donaldson","- - -",".203",".302","1.36",".345","117","24.6%","66.9%","41.8%","52.7%","77.9%","69.1%","12.9%","40.3%","36.6%","23.1%","18.7%","40.3%","41.0%","90.2","11.6","8.2%","41.0%","1.3","5038"
"Nick Markakis","Braves",".143",".318","1.44",".345","115","22.9%","61.6%","40.4%","78.6%","93.3%","88.8%","4.5%","31.7%","39.1%","29.2%","13.8%","45.7%","40.6%","90.6","10.0","2.5%","41.5%","2.6","5930"
"Joey Gallo","Rangers",".292",".249","0.59",".343","108","32.2%","74.4%","48.3%","47.0%","72.0%","61.7%","18.5%","45.1%","31.4%","23.5%","12.6%","38.9%","48.5%","94.3","21.9","22.2%","49.1%","2.7","14128"
"Kyle Schwarber","Cubs",".229",".288","1.18",".343","115","25.2%","64.9%","41.4%","54.1%","82.1%","72.0%","11.6%","43.6%","33.3%","23.0%","16.8%","43.0%","40.2%","90.9","12.3","12.4%","45.0%","3.2","16478"
"Adam Frazier","Pirates",".179",".305","1.57",".343","116","27.5%","66.7%","45.0%","79.3%","91.4%","87.3%","5.7%","37.8%","34.8%","27.3%","15.4%","49.8%","34.8%","88.0","10.4","3.0%","30.7%","1.9","15223"
"Michael Conforto","Mets",".204",".289","1.20",".342","120","27.6%","65.1%","43.2%","58.7%","84.0%","74.5%","11.0%","43.0%","31.7%","25.3%","17.8%","46.4%","35.8%","88.1","12.3","8.5%","37.4%","3.0","16376"
"Mark Reynolds","Nationals",".228",".288","0.98",".342","112","26.0%","74.3%","46.3%","44.8%","76.3%","66.1%","15.7%","48.3%","33.8%","17.9%","17.2%","46.9%","35.9%","89.0","18.3","10.3%","39.3%","0.1","7619"
"Enrique Hernandez","Dodgers",".214",".266","0.85",".342","118","24.7%","68.4%","43.2%","64.8%","87.2%","79.8%","8.7%","43.2%","35.1%","21.6%","19.5%","45.0%","35.4%","89.0","16.2","6.6%","36.0%","3.2","10472"
"Curtis Granderson","- - -",".190",".311","0.86",".341","116","24.5%","58.9%","38.9%","58.6%","83.6%","74.5%","9.9%","52.7%","28.9%","18.4%","15.5%","47.3%","37.2%","88.7","16.9","4.6%","34.3%","0.9","4747"
"Jurickson Profar","Rangers",".204",".269","1.28",".341","107","33.3%","68.7%","48.4%","72.1%","89.4%","82.6%","8.4%","39.8%","33.0%","27.3%","20.2%","42.5%","37.3%","87.3","12.4","4.3%","31.8%","2.8","10815"
"Adalberto Mondesi","Royals",".222",".335","1.10",".341","114","37.1%","79.3%","54.9%","47.4%","79.5%","66.9%","18.1%","41.6%","40.6%","17.8%","17.8%","39.1%","43.1%","90.0","13.7","10.9%","36.6%","2.8","13769"
"Daniel Descalso","Diamondbacks",".198",".300","0.65",".341","113","23.0%","67.1%","42.4%","54.3%","83.7%","74.8%","10.7%","49.2%","29.3%","21.5%","15.9%","41.1%","43.1%","89.0","19.0","8.5%","34.4%","1.7","8392"
"Corey Dickerson","Pirates",".175",".333","1.07",".341","115","45.3%","79.5%","59.3%","73.8%","85.8%","80.4%","11.6%","31.1%","36.2%","32.7%","17.8%","48.1%","34.1%","87.9","15.1","5.4%","31.5%","2.7","10762"
"Eddie Rosario","Twins",".191",".316","0.81",".340","114","42.8%","78.5%","57.6%","69.8%","83.9%","77.8%","12.8%","43.4%","33.2%","23.4%","17.5%","46.1%","36.5%","87.7","17.8","7.2%","33.2%","3.5","12155"
"Randal Grichuk","Blue Jays",".257",".282","0.75",".340","115","35.8%","71.4%","50.6%","52.4%","83.0%","70.4%","15.0%","49.8%","26.9%","23.3%","21.6%","42.0%","36.4%","90.7","18.7","13.8%","43.0%","2.1","10243"
"Matt Olson","Athletics",".207",".292","0.83",".340","118","25.1%","69.6%","44.1%","67.2%","77.7%","74.3%","11.4%","42.0%","33.9%","24.1%","13.8%","38.9%","47.3%","93.3","18.1","11.5%","52.0%","3.5","14344"
"George Springer","Astros",".169",".303","1.43",".340","118","25.5%","68.5%","44.2%","63.7%","85.2%","78.2%","9.6%","39.8%","36.9%","23.3%","17.6%","48.9%","33.4%","88.6","9.6","8.9%","36.8%","2.9","12856"
"Elias Diaz","Pirates",".167",".302","1.26",".340","114","29.5%","69.2%","46.5%","61.6%","89.9%","79.6%","9.5%","37.7%","35.8%","26.5%","19.5%","44.2%","36.3%","89.6","10.4","6.0%","40.5%","1.8","11680"
"Mallex Smith","Rays",".110",".366","1.96",".339","118","29.6%","72.6%","48.9%","64.0%","82.9%","76.6%","11.5%","28.9%","37.9%","33.2%","19.2%","53.7%","27.1%","85.8","3.7","1.0%","23.0%","3.5","13608"
"Brock Holt","Red Sox",".134",".337","2.08",".338","109","20.8%","56.8%","37.5%","68.9%","92.0%","85.1%","5.6%","43.2%","31.6%","25.2%","18.8%","52.0%","29.2%","87.9","6.8","3.2%","30.8%","1.4","9345"
"Hunter Renfroe","Padres",".256",".271","0.88",".338","114","32.6%","67.2%","46.8%","60.3%","78.4%","70.9%","13.6%","48.8%","33.1%","18.1%","18.1%","34.8%","47.2%","89.9","18.4","11.0%","43.5%","1.6","15464"
"Carlos Gonzalez","Rockies",".190",".332","1.33",".338","97","35.3%","74.0%","50.2%","60.1%","81.8%","72.4%","13.8%","34.0%","39.4%","26.6%","21.2%","43.6%","35.1%","89.7","9.0","5.9%","39.1%","1.8","7287"
"Daniel Murphy","- - -",".155",".308","0.89",".338","110","34.0%","70.7%","50.7%","77.4%","93.7%","87.8%","6.2%","34.4%","29.6%","36.1%","12.7%","61.2%","26.1%","87.6","16.3","4.8%","28.5%","0.8","4316"
"A.J. Pollock","Diamondbacks",".228",".284","1.10",".338","111","33.6%","67.3%","48.1%","58.4%","90.6%","77.8%","10.7%","48.6%","32.7%","18.7%","11.2%","44.2%","44.5%","89.2","13.5","9.7%","40.5%","2.6","9256"
"Joey Wendle","Rays",".136",".353","1.43",".338","117","35.9%","62.7%","46.5%","70.2%","91.4%","81.5%","8.6%","36.0%","34.2%","29.8%","16.1%","46.9%","37.0%","88.8","10.7","2.7%","35.2%","3.8","13853"
"Scott Schebler","Reds",".184",".301","1.64",".337","108","35.0%","82.5%","54.7%","56.7%","79.0%","70.6%","16.1%","44.9%","34.6%","20.5%","15.9%","45.9%","38.2%","90.2","8.7","10.2%","42.4%","1.1","12225"
"Jose Abreu","White Sox",".208",".294","1.28",".337","115","37.2%","65.9%","49.0%","66.9%","86.9%","77.9%","10.8%","39.1%","39.9%","21.0%","17.2%","44.9%","37.9%","91.3","12.2","8.8%","45.2%","1.2","15676"
"Starling Marte","Pirates",".182",".312","1.57",".337","112","36.1%","77.2%","53.6%","60.8%","87.3%","77.1%","12.3%","40.3%","35.0%","24.7%","19.6%","46.9%","33.5%","88.4","8.8","7.3%","38.1%","3.7","9241"
