"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Juan Soto","Nationals",".344",".363","1.81",".478","200","21.0%","61.4%","36.0%","69.7%","88.9%","81.9%","6.5%","32.5%","43.7%","23.8%","15.1%","42.9%","42.1%","92.3","4.6","17.5%","51.6%","2.4","20123"
"Ke'Bryan Hayes","Pirates",".306",".450","1.55",".464","195","28.9%","68.5%","44.1%","65.2%","96.1%","83.6%","7.2%","24.6%","40.0%","35.4%","18.5%","36.9%","44.6%","92.8","7.4","9.2%","55.4%","1.7","18577"
"Freddie Freeman","Braves",".299",".366","0.85",".456","187","28.2%","80.7%","48.2%","74.7%","86.0%","81.9%","8.7%","37.3%","33.3%","29.4%","9.6%","47.5%","42.9%","92.4","17.2","14.7%","54.2%","3.4","5361"
"Marcell Ozuna","Braves",".298",".391","0.91",".444","179","32.5%","69.0%","46.3%","53.9%","83.6%","70.6%","13.6%","45.0%","29.0%","26.0%","14.8%","39.1%","46.2%","93.0","16.4","15.4%","53.8%","2.5","10324"
"DJ LeMahieu","Yankees",".226",".370","2.68",".429","177","28.9%","63.4%","44.1%","82.1%","94.4%","89.9%","4.5%","27.4%","29.1%","43.4%","13.1%","51.4%","35.4%","91.3","2.3","2.9%","45.7%","2.5","9874"
"Brandon Belt","Giants",".282",".356","0.72",".427","173","22.0%","74.6%","42.6%","60.9%","86.0%","78.1%","9.3%","43.4%","34.5%","22.1%","11.5%","47.8%","40.7%","90.7","18.0","16.8%","46.9%","1.9","10264"
"Jose Ramirez","Indians",".315",".294","0.59",".415","163","25.9%","65.6%","41.4%","80.6%","88.8%","85.7%","5.9%","52.0%","28.8%","19.2%","19.8%","46.9%","33.3%","88.7","23.2","10.2%","35.0%","3.4","13510"
"Ronald Acuna Jr.","Braves",".331",".302","0.81",".413","159","23.5%","65.7%","40.5%","65.0%","74.6%","71.3%","11.6%","42.0%","35.0%","23.0%","17.0%","32.0%","51.0%","92.4","18.6","16.0%","57.0%","2.4","18401"
"Trea Turner","Nationals",".253",".353","1.29",".413","157","29.0%","71.9%","46.9%","68.6%","88.3%","81.2%","8.8%","30.7%","38.7%","30.7%","16.1%","47.2%","36.7%","90.5","9.3","9.0%","39.7%","2.7","16252"
"Dominic Smith","Mets",".299",".368","1.22",".412","165","37.1%","73.1%","51.9%","64.2%","84.6%","76.1%","12.4%","44.4%","35.6%","20.0%","10.4%","51.9%","37.8%","89.8","10.8","13.3%","46.7%","1.8","15653"
"Nelson Cruz","Twins",".292",".360","1.51",".411","164","33.8%","69.6%","47.6%","52.3%","80.2%","68.0%","15.2%","34.6%","37.8%","27.6%","14.2%","47.2%","38.6%","91.6","9.4","15.0%","46.5%","2.0","2434"
"Jose Abreu","White Sox",".300",".350","1.40",".411","167","36.4%","68.1%","48.5%","58.9%","82.4%","71.5%","13.8%","37.9%","38.5%","23.6%","13.2%","47.3%","39.6%","92.9","10.9","14.3%","53.3%","2.6","15676"
"Will Smith","Dodgers",".289",".294","0.48",".411","163","18.2%","64.6%","38.2%","76.2%","88.2%","85.0%","5.7%","38.7%","36.6%","24.7%","8.6%","50.5%","40.9%","90.8","24.2","12.9%","46.2%","1.3","19197"
"Salvador Perez","Royals",".300",".375","0.95",".410","162","47.2%","78.5%","58.8%","62.9%","89.0%","75.8%","14.2%","46.1%","36.5%","17.4%","12.2%","45.2%","42.6%","91.0","14.2","13.9%","47.0%","1.9","7304"
"Jose Iglesias","Orioles",".183",".407","2.00",".407","160","37.7%","61.6%","48.6%","75.9%","93.1%","85.8%","6.9%","42.1%","34.9%","23.0%","23.0%","48.4%","28.6%","86.2","7.6","3.2%","35.7%","1.6","10231"
