"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Mike Trout","Angels",".322",".300","0.50",".407","164","17.4%","59.9%","36.7%","68.0%","87.4%","82.4%","6.5%","38.1%","33.3%","28.6%","10.2%","48.3%","41.5%","93.7","23.1","15.0%","55.1%","2.6","10155"
"Mike Yastrzemski","Giants",".271",".370","0.91",".407","160","23.4%","59.7%","38.9%","64.3%","82.9%","76.5%","9.1%","43.1%","35.8%","21.2%","19.7%","43.1%","37.2%","88.2","18.4","10.9%","42.3%","2.7","14854"
"Michael Conforto","Mets",".193",".412","1.46",".401","157","27.7%","68.6%","44.2%","57.8%","86.8%","76.0%","10.6%","32.4%","39.3%","28.3%","14.5%","49.0%","36.6%","88.4","11.0","11.0%","36.6%","2.0","16376"
"Bobby Dalbec","Red Sox",".338",".394","0.83",".400","152","35.6%","69.9%","48.7%","35.7%","73.5%","56.5%","21.2%","41.5%","34.1%","24.4%","17.1%","41.5%","41.5%","89.9","14.8","22.0%","43.9%","0.6","19966"
"Bryce Harper","Phillies",".274",".279","0.79",".400","151","31.1%","75.0%","45.7%","57.9%","84.8%","72.6%","12.5%","38.7%","34.0%","27.3%","9.3%","50.7%","40.0%","92.3","16.7","17.3%","48.7%","1.6","11579"
"Wil Myers","Padres",".318",".331","1.00",".400","154","25.8%","65.0%","41.8%","55.0%","85.2%","74.1%","10.8%","39.4%","33.1%","27.5%","11.3%","40.8%","47.9%","91.0","13.4","14.8%","45.8%","1.9","10047"
"Jesse Winker","Reds",".289",".283","1.67",".396","146","22.5%","67.1%","40.0%","64.5%","79.6%","74.4%","10.2%","46.2%","31.7%","22.1%","10.6%","40.4%","49.0%","92.1","10.5","13.5%","49.0%","1.5","13590"
"Anthony Rendon","Angels",".212",".302","0.81",".395","156","20.8%","68.3%","40.5%","70.4%","93.7%","86.7%","5.4%","43.7%","36.7%","19.6%","9.5%","46.8%","43.7%","90.1","19.6","6.3%","39.9%","2.7","12861"
"Austin Slater","Giants",".224",".328","1.25",".395","152","23.7%","65.4%","41.3%","61.0%","83.2%","75.8%","10.0%","37.5%","35.9%","26.6%","14.1%","54.7%","31.3%","89.2","10.9","14.1%","45.3%","1.2","16153"
"Mike Brosseau","Rays",".256",".412","1.19",".394","157","29.9%","66.0%","44.8%","59.1%","72.8%","67.5%","14.6%","50.0%","28.6%","21.4%","7.1%","46.4%","46.4%","90.9","15.1","8.9%","42.9%","1.1","19683"
"Corey Seager","Dodgers",".278",".309","0.99",".394","151","33.8%","84.8%","55.8%","53.5%","87.8%","76.0%","13.4%","40.7%","32.2%","27.1%","8.5%","39.5%","52.0%","93.2","11.9","15.8%","55.4%","1.9","13624"
"Alex Dickerson","Giants",".278",".313","1.04",".394","151","33.7%","76.6%","50.3%","65.6%","87.2%","78.4%","10.9%","39.3%","32.8%","27.9%","13.9%","45.1%","41.0%","90.9","17.8","10.7%","42.6%","0.9","12649"
"Willi Castro","Tigers",".202",".448","1.34",".393","151","41.1%","75.1%","54.7%","59.1%","83.1%","72.3%","15.2%","39.4%","39.4%","21.3%","22.3%","48.9%","28.7%","85.3","11.3","9.6%","31.9%","1.3","17338"
"Luke Voit","Yankees",".333",".268","1.03",".393","152","33.3%","81.2%","52.1%","60.9%","83.1%","74.5%","13.3%","54.4%","24.4%","21.3%","16.9%","41.3%","41.9%","88.9","15.2","13.1%","40.0%","1.8","14811"
"Jared Walsh","Angels",".354",".256","1.31",".393","155","35.7%","69.9%","50.1%","70.4%","85.3%","79.2%","10.4%","43.7%","27.6%","28.7%","13.8%","43.7%","42.5%","88.1","13.2","12.6%","39.1%","0.9","18607"
"Fernando Tatis Jr.","Padres",".295",".306","1.36",".392","149","29.6%","71.5%","46.7%","63.0%","79.2%","73.1%","12.6%","44.5%","36.0%","19.5%","7.9%","37.2%","54.9%","95.9","8.7","19.5%","62.2%","2.9","19709"
"Travis d'Arnaud","Braves",".212",".411","1.43",".392","145","35.4%","69.1%","50.3%","54.5%","82.5%","71.5%","14.3%","39.7%","33.6%","26.7%","10.3%","44.0%","45.7%","93.4","8.1","11.2%","57.8%","1.6","7739"
"Manny Machado","Padres",".277",".297","0.91",".391","148","27.8%","73.3%","46.7%","63.2%","88.4%","79.6%","9.5%","45.0%","31.4%","23.6%","13.6%","47.6%","38.7%","90.2","15.6","11.0%","43.5%","2.6","11493"
"Mookie Betts","Dodgers",".269",".289","0.70",".390","149","24.9%","59.3%","40.5%","72.2%","95.6%","87.8%","4.9%","38.5%","34.1%","27.5%","13.2%","42.3%","44.5%","90.7","18.5","7.7%","43.4%","3.0","13611"
"Clint Frazier","Yankees",".244",".338","1.20",".388","149","17.8%","62.5%","35.2%","41.3%","82.0%","69.4%","10.8%","44.3%","29.5%","26.1%","13.6%","54.5%","31.8%","89.4","11.6","12.5%","43.2%","1.3","15983"
"Paul Goldschmidt","Cardinals",".162",".364","0.93",".387","146","25.3%","62.6%","40.5%","68.7%","85.9%","79.5%","8.3%","34.9%","34.2%","30.9%","14.8%","57.0%","28.2%","89.2","11.6","10.7%","40.7%","2.1","9218"
"Brandon Nimmo","Mets",".204",".326","1.46",".387","148","21.3%","68.2%","41.2%","65.0%","84.8%","78.9%","8.7%","35.0%","30.1%","35.0%","21.0%","57.3%","21.7%","87.2","7.6","7.7%","32.2%","1.5","12927"
"Brandon Lowe","Rays",".285",".309","0.76",".385","150","26.8%","74.4%","46.8%","47.4%","76.8%","67.1%","15.4%","45.3%","32.1%","22.6%","13.9%","43.1%","43.1%","89.8","18.1","17.5%","43.1%","2.3","18882"
"Edwin Rios","Dodgers",".395",".216","0.71",".385","145","36.0%","70.2%","50.2%","41.9%","81.2%","64.6%","17.7%","45.8%","28.8%","25.4%","10.2%","39.0%","50.8%","91.5","14.5","13.6%","45.8%","0.6","18316"
"Teoscar Hernandez","Blue Jays",".289",".348","0.94",".384","146","34.3%","63.7%","46.4%","52.1%","76.9%","66.2%","15.7%","35.9%","42.2%","21.9%","11.6%","39.5%","48.8%","93.3","15.3","17.8%","52.7%","1.6","13066"
"Rhys Hoskins","Phillies",".258",".276","0.55",".382","139","27.1%","61.9%","41.5%","63.1%","83.8%","75.9%","10.0%","48.1%","27.8%","24.1%","19.4%","48.1%","32.4%","90.1","24.3","14.8%","41.7%","0.9","16472"
"Alec Bohm","Phillies",".144",".410","2.09",".381","138","30.1%","72.0%","47.5%","57.8%","87.9%","76.8%","11.0%","29.4%","43.7%","27.0%","15.9%","56.3%","27.8%","90.5","5.4","9.5%","46.0%","1.2","21618"
"Giancarlo Stanton","Yankees",".250",".333","1.77",".379","143","23.4%","58.0%","35.9%","59.7%","78.2%","70.5%","10.6%","57.1%","28.6%","14.3%","20.4%","32.7%","46.9%","91.1","8.3","18.0%","50.0%","0.4","4949"
"George Springer","Astros",".275",".259","0.83",".379","146","27.5%","77.3%","47.5%","60.7%","85.1%","76.7%","11.1%","48.0%","34.9%","17.1%","20.4%","43.4%","36.2%","88.7","18.4","12.3%","41.9%","1.9","12856"
"Darin Ruf","Giants",".241",".322","1.19",".379","141","25.0%","60.9%","41.4%","63.2%","78.6%","73.6%","11.0%","42.2%","34.4%","23.4%","18.8%","51.6%","29.7%","89.4","12.5","9.4%","43.8%","0.7","9929"
"Miguel Rojas","Marlins",".192",".330","1.16",".379","142","26.2%","57.5%","39.1%","79.3%","87.3%","84.1%","6.2%","37.4%","38.3%","24.3%","13.1%","55.1%","31.8%","87.0","12.3","0.9%","29.0%","1.6","7802"
"James McCann","White Sox",".247",".339","1.00",".378","144","30.5%","68.7%","47.0%","56.4%","85.8%","75.0%","11.8%","33.3%","34.8%","31.9%","14.5%","49.3%","36.2%","90.5","15.0","8.7%","47.8%","1.5","12859"
"Ryan Mountcastle","Orioles",".159",".398","1.19",".377","139","42.0%","83.1%","58.8%","58.9%","82.5%","72.5%","16.2%","31.6%","36.7%","31.6%","19.4%","45.9%","34.7%","87.4","10.8","7.1%","41.8%","0.7","18373"
"Robinson Cano","Mets",".228",".319","1.95",".376","141","43.6%","79.2%","57.5%","69.6%","92.0%","81.6%","10.6%","41.2%","35.1%","23.6%","20.3%","44.6%","35.1%","90.4","6.2","7.4%","46.6%","1.3","3269"
"Tim Anderson","White Sox",".207",".383","2.07",".376","143","43.6%","73.0%","55.2%","62.8%","78.9%","71.2%","15.9%","33.3%","42.8%","23.9%","15.1%","52.8%","32.1%","87.2","6.7","10.1%","35.8%","2.2","15172"
"Justin Turner","Dodgers",".153",".347","0.76",".376","140","22.6%","67.3%","42.9%","61.9%","88.0%","80.5%","8.4%","37.6%","38.4%","24.0%","11.2%","40.0%","48.8%","90.3","17.5","11.2%","44.0%","1.3","5235"
"Tim Locastro","Diamondbacks",".174",".340","1.00",".376","135","32.1%","57.8%","42.5%","82.0%","90.5%","86.7%","5.7%","33.9%","32.1%","33.9%","25.0%","48.2%","26.8%","85.6","17.3","1.8%","21.4%","0.6","15124"
"Aaron Judge","Yankees",".297",".283","0.96",".375","140","25.9%","68.9%","42.7%","39.0%","84.0%","67.3%","14.0%","53.6%","29.0%","17.4%","13.0%","44.9%","42.0%","92.2","15.5","11.4%","41.4%","0.9","15640"
"Kevin Plawecki","Red Sox",".122",".403","1.32",".373","134","32.5%","66.9%","46.6%","67.7%","95.5%","84.1%","7.4%","32.4%","36.8%","30.9%","14.7%","54.4%","30.9%","88.9","12.7","4.4%","30.9%","0.3","13807"
"Jeimer Candelario","Tigers",".205",".372","1.17",".373","137","29.9%","69.3%","44.8%","57.3%","86.9%","74.6%","11.4%","41.9%","39.7%","18.4%","16.9%","47.1%","36.0%","90.2","13.3","10.3%","47.1%","1.6","13621"
"Eloy Jimenez","White Sox",".263",".340","1.82",".373","141","41.1%","76.4%","54.3%","62.8%","81.7%","72.8%","14.8%","36.1%","33.5%","30.4%","12.0%","43.7%","44.3%","92.4","5.7","16.5%","55.7%","1.7","17484"
"Andrew Knapp","Phillies",".167",".346","1.31",".372","133","26.7%","72.7%","46.7%","63.5%","78.0%","73.3%","12.5%","46.3%","31.5%","22.2%","14.8%","55.6%","29.6%","86.6","10.7","7.4%","31.5%","0.5","14942"
"Curt Casali","Reds",".276",".268","0.50",".372","131","21.2%","63.8%","39.5%","52.0%","80.5%","71.8%","11.1%","44.7%","38.3%","17.0%","6.4%","48.9%","44.7%","88.6","22.2","6.4%","42.6%","0.7","12510"
"Lourdes Gurriel Jr.","Blue Jays",".226",".351","1.22",".372","138","35.8%","72.0%","51.2%","63.2%","83.9%","75.6%","12.5%","42.0%","35.2%","22.8%","11.1%","58.6%","30.2%","90.8","10.5","11.7%","49.4%","1.2","19238"
"Mitch Moreland","- - -",".287",".277","1.07",".372","135","29.9%","73.6%","46.7%","53.8%","80.9%","70.1%","13.9%","43.3%","30.8%","26.0%","14.4%","52.9%","32.7%","88.2","12.5","14.4%","40.4%","0.9","3086"
"Max Stassi","Angels",".256",".277","1.07",".370","139","27.6%","69.9%","47.0%","59.3%","82.8%","75.3%","11.6%","47.2%","34.7%","18.1%","6.9%","59.7%","33.3%","91.6","15.0","11.1%","41.7%","0.7","10059"
"Trevor Story","Rockies",".230",".354","0.62",".370","117","30.6%","67.7%","45.8%","67.4%","82.9%","76.8%","10.6%","32.0%","36.0%","32.0%","14.5%","44.8%","40.7%","89.9","20.9","8.7%","41.3%","2.5","12564"
"Rowdy Tellez","Blue Jays",".257",".276","1.38",".369","136","37.3%","69.9%","50.1%","66.0%","89.3%","78.7%","10.7%","36.8%","37.9%","25.3%","20.0%","42.1%","37.9%","90.7","10.6","8.4%","44.2%","0.4","15679"
"Ian Happ","Cubs",".247",".317","1.39",".369","131","27.0%","66.4%","43.5%","41.2%","80.8%","66.5%","14.6%","37.5%","41.2%","21.3%","12.5%","51.5%","36.0%","91.1","9.0","10.3%","47.8%","1.9","17919"
"Jason Heyward","Cubs",".190",".311","1.70",".368","130","21.7%","57.9%","36.7%","65.0%","85.6%","78.5%","7.9%","50.0%","34.8%","15.2%","14.3%","46.4%","39.3%","87.6","11.3","4.5%","40.2%","1.8","4940"
"Xander Bogaerts","Red Sox",".202",".329","1.27",".368","130","27.8%","65.7%","43.6%","66.0%","86.5%","78.9%","9.2%","42.3%","31.3%","26.4%","16.6%","47.2%","36.2%","89.0","8.7","8.6%","36.8%","1.9","12161"
"Dylan Moore","Mariners",".241",".314","0.89",".368","139","27.0%","61.2%","41.5%","59.8%","82.9%","74.3%","10.7%","42.6%","31.9%","25.5%","9.6%","54.3%","36.2%","90.4","17.3","13.8%","44.7%","1.4","18042"
"Yandy Diaz","Rays",".079",".347","5.82",".367","138","22.3%","57.9%","35.6%","80.0%","88.7%","85.3%","5.2%","26.8%","30.9%","42.3%","23.7%","48.5%","27.8%","88.3","-7.9","2.1%","30.9%","0.8","16578"
"Garrett Cooper","Marlins",".217",".337","1.64",".365","133","31.3%","54.6%","40.4%","68.9%","87.4%","78.7%","8.6%","42.7%","31.5%","25.8%","13.5%","53.9%","32.6%","89.9","9.1","9.0%","39.3%","0.5","15279"
"Giovanny Urshela","Yankees",".192",".315","1.26",".365","133","30.8%","74.8%","48.2%","68.6%","91.4%","82.6%","8.4%","39.2%","30.0%","30.8%","13.8%","54.6%","31.5%","91.4","12.3","6.9%","40.8%","1.6","10681"
"Anthony Santander","Orioles",".314",".248","0.48",".364","130","40.8%","74.3%","52.3%","73.4%","83.3%","78.2%","11.4%","38.3%","29.7%","32.0%","21.1%","42.2%","36.7%","88.6","24.7","10.2%","36.7%","0.9","14551"
"A.J. Pollock","Dodgers",".291",".277","1.00",".364","132","33.7%","66.5%","47.7%","61.1%","90.6%","78.7%","10.2%","45.8%","28.1%","26.1%","11.1%","47.1%","41.8%","89.6","13.0","10.5%","43.1%","1.0","9256"
"Chris Taylor","Dodgers",".205",".344","1.66",".364","131","21.3%","76.2%","44.4%","54.7%","77.8%","71.4%","12.7%","31.3%","41.2%","27.5%","14.5%","48.9%","36.6%","88.0","9.1","11.5%","45.0%","1.5","13757"
"Kole Calhoun","Diamondbacks",".300",".211","0.96",".362","126","27.5%","74.6%","46.8%","49.3%","78.3%","68.2%","14.9%","59.0%","27.1%","13.9%","12.5%","47.2%","40.3%","89.4","17.1","11.8%","38.2%","1.8","11200"
"Michael Brantley","Astros",".176",".336","1.50",".362","134","25.2%","59.4%","39.8%","74.0%","92.9%","86.1%","5.5%","43.7%","29.6%","26.8%","9.9%","52.8%","37.3%","88.7","10.2","4.9%","36.6%","1.3","4106"
"Alex Verdugo","Red Sox",".169",".371","1.91",".362","126","29.0%","61.0%","42.7%","71.2%","91.3%","83.5%","7.0%","40.1%","35.0%","24.8%","14.6%","52.9%","32.5%","87.0","5.9","6.4%","34.4%","1.6","17027"
"Ty France","- - -",".163",".390","1.18",".362","132","28.8%","70.8%","45.9%","62.9%","85.9%","77.3%","10.4%","47.1%","30.8%","22.1%","16.3%","51.9%","31.7%","85.7","14.8","8.7%","29.8%","0.9","17982"
"Josh Donaldson","Twins",".247",".231","1.60",".362","129","25.3%","64.6%","39.4%","53.4%","77.9%","67.8%","12.7%","51.7%","27.6%","20.7%","15.5%","50.0%","34.5%","92.8","6.1","6.9%","53.4%","0.9","5038"
"J.T. Realmuto","Phillies",".225",".307","1.28",".361","125","28.1%","69.8%","45.3%","61.0%","80.3%","73.2%","12.1%","40.8%","37.6%","21.6%","16.8%","45.6%","37.6%","90.9","11.8","13.6%","42.4%","1.7","11739"
"Jeff McNeil","Mets",".142",".335","1.37",".360","130","38.5%","84.0%","56.8%","74.6%","90.1%","83.8%","9.2%","38.9%","35.8%","25.3%","14.8%","54.3%","30.9%","86.6","11.5","2.5%","26.5%","1.2","15362"
"Eric Hosmer","Padres",".231",".296","1.35",".359","127","37.2%","69.4%","50.2%","71.7%","91.8%","82.9%","8.6%","37.6%","40.2%","22.2%","16.2%","42.7%","41.0%","90.8","8.7","10.3%","47.0%","0.9","3516"
"JaCoby Jones","Tigers",".247",".356","1.38",".358","127","28.9%","58.4%","40.8%","51.9%","81.5%","69.0%","12.7%","43.8%","32.8%","23.4%","18.8%","51.6%","29.7%","89.5","11.0","10.9%","45.3%","0.8","14818"
"Sean Murphy","Athletics",".224",".278","1.10",".358","131","24.2%","65.4%","40.9%","60.7%","86.5%","77.4%","9.2%","31.6%","46.8%","21.5%","11.4%","54.4%","34.2%","92.2","14.7","12.7%","48.1%","1.5","19352"
"Donovan Solano","Giants",".137",".396","1.00",".357","127","38.7%","71.1%","51.9%","69.0%","89.4%","80.4%","10.2%","37.5%","33.6%","28.9%","16.4%","49.3%","34.2%","88.5","15.5","4.6%","34.9%","0.9","8623"
"Jake Cronenworth","Padres",".192",".324","1.55",".356","125","22.4%","59.7%","39.8%","70.0%","91.9%","85.3%","5.8%","31.5%","37.8%","30.8%","18.2%","45.5%","36.4%","89.8","10.6","10.5%","42.7%","1.4","18036"
"Cavan Biggio","Blue Jays",".182",".311","0.94",".355","127","16.3%","62.0%","36.0%","62.1%","83.8%","78.3%","7.8%","47.2%","30.8%","22.0%","13.2%","55.3%","31.4%","87.4","16.7","5.0%","30.6%","1.5","19252"
"Tommy La Stella","- - -",".168",".276","0.99",".355","129","25.2%","54.8%","38.1%","82.8%","94.6%","90.2%","3.7%","46.5%","32.1%","21.4%","13.9%","56.7%","29.4%","88.0","17.1","4.8%","28.3%","1.2","12371"
"D.J. Stewart","Orioles",".261",".233","0.95",".353","123","27.8%","78.9%","48.4%","48.8%","75.2%","66.1%","16.4%","55.8%","26.9%","17.3%","23.1%","38.5%","38.5%","91.4","17.8","19.2%","46.2%","0.2","17766"
"Bo Bichette","Blue Jays",".211",".352","1.22",".353","125","45.5%","73.6%","57.0%","66.1%","91.5%","79.6%","11.7%","36.5%","32.3%","31.3%","14.6%","54.2%","31.3%","89.2","12.0","12.5%","40.6%","0.9","19612"
"Jackie Bradley Jr.","Red Sox",".168",".343","1.90",".352","119","27.3%","69.4%","45.1%","65.2%","82.4%","76.4%","10.6%","29.9%","42.4%","27.8%","18.8%","54.2%","27.1%","88.3","4.4","7.6%","36.1%","1.4","12984"
"Austin Nola","- - -",".199",".303","1.06",".352","126","22.8%","62.2%","40.4%","73.9%","86.6%","82.7%","7.0%","42.6%","38.0%","19.4%","15.5%","47.3%","37.2%","89.7","12.6","7.8%","43.4%","1.7","15941"
"Mark Canha","Athletics",".162",".307","0.79",".351","127","21.6%","60.3%","38.0%","63.6%","86.4%","79.0%","8.0%","42.3%","35.9%","21.8%","14.1%","48.6%","37.3%","89.7","19.4","7.7%","38.7%","1.7","11445"
"Jedd Gyorko","Brewers",".256",".278","0.97",".351","118","28.8%","61.4%","42.2%","45.8%","83.9%","68.6%","13.3%","44.4%","37.0%","18.5%","19.8%","48.1%","32.1%","88.6","15.3","16.0%","43.2%","0.7","10816"
"Aaron Hicks","Yankees",".189",".256","1.31",".351","123","19.9%","67.6%","39.4%","55.6%","80.3%","72.9%","10.7%","51.9%","29.0%","19.1%","16.8%","52.7%","30.5%","88.2","11.1","6.9%","38.2%","1.1","5297"
"Robbie Grossman","Athletics",".241",".267","1.02",".351","126","25.9%","66.9%","43.4%","70.5%","89.7%","83.1%","7.3%","47.7%","31.3%","21.1%","13.3%","59.4%","27.3%","89.0","15.2","5.5%","37.5%","1.3","5254"
"David Fletcher","Angels",".106",".348","2.63",".350","125","27.0%","49.3%","37.1%","85.8%","96.0%","92.0%","3.0%","38.4%","31.4%","30.3%","17.8%","59.5%","22.7%","84.7","4.1","0.5%","17.8%","1.6","17992"
"Trent Grisham","Padres",".205",".310","1.18",".349","121","20.4%","60.5%","37.9%","67.5%","83.8%","78.8%","8.0%","44.4%","33.3%","22.2%","17.0%","50.3%","32.7%","88.3","13.5","11.0%","41.6%","2.3","18564"
"Kyle Lewis","Mariners",".175",".341","1.18",".349","126","26.5%","65.9%","43.2%","45.3%","76.6%","65.6%","14.9%","30.7%","42.3%","27.0%","18.2%","48.9%","32.8%","88.3","11.1","11.7%","34.3%","1.7","19508"
"Brad Miller","Cardinals",".218",".289","1.24",".349","121","27.7%","59.6%","39.7%","61.5%","74.7%","68.9%","12.3%","39.2%","44.3%","16.5%","19.6%","44.3%","36.1%","89.8","11.2","13.4%","43.3%","0.8","12775"
"Kyle Tucker","Astros",".244",".303","0.91",".349","125","31.3%","78.2%","50.5%","69.8%","85.1%","79.5%","10.3%","50.6%","31.7%","17.7%","10.4%","51.8%","37.8%","91.1","14.9","9.1%","43.9%","1.6","18345"
"Dansby Swanson","Braves",".190",".350","0.97",".348","116","28.5%","72.3%","47.2%","59.0%","76.8%","70.6%","13.9%","38.3%","38.3%","23.4%","11.4%","49.7%","38.9%","89.0","14.7","11.4%","40.7%","1.9","18314"
"Adam Duvall","Braves",".295",".240","0.54",".348","116","35.1%","67.8%","49.0%","59.6%","84.8%","74.4%","12.5%","44.5%","30.7%","24.8%","20.4%","48.9%","30.7%","88.1","22.9","13.9%","40.1%","0.5","10950"
"Brian Anderson","Marlins",".210",".323","1.61",".348","121","32.5%","74.6%","49.1%","54.3%","77.8%","68.3%","15.5%","48.1%","27.4%","24.4%","14.8%","49.6%","35.6%","87.2","9.7","9.6%","37.8%","1.2","18289"
"Didi Gregorius","Phillies",".205",".285","0.84",".348","116","37.1%","74.5%","53.0%","70.8%","89.5%","82.0%","9.5%","43.2%","29.5%","27.4%","23.7%","47.4%","28.9%","83.7","18.0","3.7%","26.8%","1.4","6012"
"Joey Votto","Reds",".220",".235","0.98",".347","114","19.5%","60.0%","36.2%","65.1%","86.8%","79.9%","7.3%","46.2%","28.7%","25.2%","10.5%","53.1%","36.4%","87.4","15.4","9.1%","35.7%","0.6","4314"
"Wilmer Flores","Giants",".247",".272","0.76",".347","121","33.0%","69.9%","48.0%","76.6%","89.7%","84.3%","7.5%","51.5%","28.2%","20.2%","17.2%","48.5%","34.4%","87.9","19.0","6.1%","34.4%","1.0","5827"
"Jesus Aguilar","Marlins",".181",".306","0.95",".347","121","36.0%","63.6%","47.4%","66.7%","90.5%","79.9%","9.5%","44.1%","26.3%","29.6%","14.5%","50.0%","35.5%","89.6","15.5","6.6%","36.8%","0.6","11342"
"Willy Adames","Rays",".222",".388","1.37",".347","124","29.2%","70.9%","46.2%","48.3%","73.2%","63.9%","16.7%","55.0%","25.2%","19.8%","18.9%","44.1%","36.9%","88.8","12.5","9.9%","39.6%","1.5","15986"
"Renato Nunez","Orioles",".236",".317","0.71",".347","119","42.4%","67.0%","52.1%","65.7%","79.1%","72.5%","14.3%","49.2%","28.8%","22.0%","23.5%","50.8%","25.8%","86.3","21.1","12.1%","36.4%","0.3","14503"
"Adam Engel","White Sox",".182",".348","1.15",".347","122","34.7%","69.4%","49.1%","58.6%","86.0%","74.7%","12.4%","37.7%","31.9%","30.4%","26.1%","40.6%","33.3%","87.2","13.9","5.8%","31.9%","0.7","15082"
"Christian Vazquez","Red Sox",".173",".341","1.08",".346","115","33.8%","66.0%","47.8%","71.8%","84.3%","79.3%","9.9%","42.3%","28.5%","29.2%","26.2%","43.1%","30.8%","88.4","14.4","4.6%","40.0%","1.4","9774"
"Byron Buxton","Twins",".323",".241","0.71",".345","118","51.2%","80.4%","64.3%","56.0%","86.3%","73.0%","17.4%","54.2%","25.0%","20.8%","20.8%","43.8%","35.4%","91.2","23.6","13.5%","47.9%","1.2","14161"
"Alex Bregman","Astros",".209",".254","0.81",".345","122","21.1%","58.6%","36.1%","73.1%","93.6%","86.5%","4.9%","47.7%","36.7%","15.6%","14.1%","49.2%","36.7%","88.9","17.3","3.9%","33.6%","0.9","17678"
